player,pos,fpts,rec_rcpt,rec_yd,rec_td,rec_tgt,rush_att,rush_yd,rush_td,fpts_halfppr_adjust,source,source_url
Christian McCaffrey,RB,300.87048195700004,67.18996333,525.9828679,3.842105592,83.50215448,258.1331621,1219.104023,11.83000462,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Breece Hall,RB,254.843240012,67.51733938,545.3667882,2.54387569,85.22674003,235.2880611,1047.681362,7.936789924,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Bijan Robinson,RB,251.854999249,64.61543149,570.3099001,4.155501917,87.83236419,213.2633946,956.6186695,7.292615572,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jonathan Taylor,RB,234.375278184,41.08413372,318.2310152,1.398618639,53.05743875,262.1445,1176.855215,9.540951066,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Saquon Barkley,RB,229.61647371700002,45.81409377,360.7265524,2.412553175,64.38380228,253.158684,1044.903403,8.784530039,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jahmyr Gibbs,RB,214.07336745599997,50.56611608,375.2875418,2.486428184,68.06712182,189.6541509,876.5023913,8.314539,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Kyren Williams,RB,223.57173309,34.54512088,284.5113652,1.851373555,47.48495598,230.4895641,1074.511337,10.05968762,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Derrick Henry,RB,217.35844185400003,27.20822556,222.8630266,1.129766911,35.68182908,251.4178537,1056.610268,11.62065815,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Travis Etienne,RB,202.08904692800002,46.63191572,354.4833138,1.138453896,59.33138166,225.8871771,953.0467093,6.985770973,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Isiah Pacheco,RB,209.32121944400004,45.65726488,289.5683053,2.02534765,54.04016895,220.4088857,977.909669,8.167486718,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Rachaad White,RB,200.98944814499998,53.42541885,395.1971286,1.726483732,65.11333084,213.9060345,871.1202956,6.428012842,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Kenneth Walker III,RB,194.93263335900002,30.91141829,231.5917567,0.811846407,39.57524094,233.0649168,1012.291662,8.44318704,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Joe Mixon,RB,197.077538279,42.31030135,296.9142006,2.892663893,53.61657418,215.5177643,887.398173,6.697890321,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
James Cook,RB,197.53541127700004,48.85777245,401.9270156,2.355489668,62.59199896,209.6522684,944.6345801,4.351080388,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Josh Jacobs,RB,192.145981145,36.86046241,284.0499081,1.341665138,50.56436865,246.4073756,970.7051287,6.91307229,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Alvin Kamara,RB,197.881581884,66.59452428,486.9818532,1.893209472,81.57566707,182.6256941,758.0000928,4.87772559,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
De'Von Achane,RB,186.39914747100002,46.79106623,391.4400413,2.493071748,63.78768845,161.3289584,743.051312,5.890027057,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Rhamondre Stevenson,RB,169.496779157,45.46874797,331.8786095,0.985999805,62.2856908,191.7982346,804.3209399,4.753910454,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
D'Andre Swift,RB,163.43450168400003,34.76696594,249.2454003,1.394409124,44.95266554,184.1835547,835.0980714,5.087176091,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
James Conner,RB,160.89034861100004,33.25081115,224.0753783,1.086270846,39.65788745,176.6597147,812.6917373,5.723811528,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Aaron Jones,RB,169.91817801899998,43.29931713,344.6083165,1.905042814,60.12252339,158.9934004,749.2574234,4.763387005,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Najee Harris,RB,161.69950984500002,27.99808415,168.7678867,1.244545194,35.88979509,218.9912016,891.832517,5.859139179,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jonathon Brooks,RB,153.512466959,30.64033911,225.7240568,1.078803748,39.18278376,167.3616058,764.7916459,5.580394703,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
David Montgomery,RB,167.22752061799997,21.71705232,162.6516439,0.709566572,28.0871751,181.7508382,799.7827546,9.39740125,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Zamir White,RB,163.43834996400003,35.3416868,246.9468225,0.772315341,45.63370645,201.4328881,866.5429623,5.163708538,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Brian Robinson Jr.,RB,160.77971729200002,35.25866802,279.832938,1.144571761,44.90385759,196.7389013,828.5478724,4.597772369,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Tony Pollard,RB,147.01706073600002,38.55820378,247.3666834,0.966013324,48.94898701,163.2408068,700.200369,4.672299173,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Devin Singletary,RB,149.09150477600002,35.36658274,226.4311458,0.604124109,46.42441187,184.6938951,788.9435479,4.577920509,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Javonte Williams,RB,151.361126802,48.84646028,298.9245658,1.292123282,63.34923602,167.7428741,664.6032962,3.943882536,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Raheem Mostert,RB,156.552175235,26.28161753,188.2750788,1.150360453,34.76306356,153.1312065,714.5294808,7.860874376,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jaylen Warren,RB,149.268071204,54.1994942,370.2857039,1.379179503,66.69611081,124.5141365,598.9138242,3.109703532,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Ezekiel Elliott,RB,156.45070806799998,32.10480476,216.5685176,1.08986921,43.01304323,191.0963348,750.8785353,6.334518274,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Zack Moss,RB,139.310919815,28.06318253,190.1195208,0.988348459,36.59790215,153.6755774,663.1613753,5.706268065,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Tyjae Spears,RB,145.45633612400002,50.43416134,405.9555294,1.725852977,67.16983873,116.5535119,508.8554523,2.989441656,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Austin Ekeler,RB,145.507867827,49.83916087,444.601705,2.089266013,68.34172126,110.3344662,441.5862468,3.426965669,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Gus Edwards,RB,134.771371304,16.9557963,134.0742022,0.508154511,21.67367951,179.7042057,760.9986338,5.825401418,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Nick Chubb,RB,124.77328103799998,16.37412698,135.1927491,0.486418051,21.20336668,148.9048136,718.6727434,4.79910153,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
J.K. Dobbins,RB,140.33668187300003,30.39608697,211.8356785,1.107855341,38.85010252,148.7773467,745.0860671,3.928897844,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Chase Brown,RB,134.900054347,39.02178009,288.7356839,1.451390237,48.68284174,124.2061264,529.5191788,4.255306748,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jerome Ford,RB,116.21802747000001,28.03982892,199.1410016,0.940230975,37.43188143,136.5848262,564.6282504,3.445000152,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Chuba Hubbard,RB,104.15842524899999,26.69878021,176.3040612,0.58600744,32.70134,116.0665538,474.2832283,3.786555184,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Zach Charbonnet,RB,118.892837856,35.85693202,247.8157822,0.977321294,45.18417608,116.4477871,505.6802282,3.321146595,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Tyler Allgeier,RB,129.570520845,28.14906317,214.098821,1.001605797,34.38583025,140.5179669,575.9262754,5.084289888,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Ty Chandler,RB,125.87887902900002,22.27628619,157.559125,0.678600861,29.41794794,154.6539103,679.1461727,4.429361842,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Trey Benson,RB,102.54780604800003,21.61252092,152.8662467,0.69926539,27.84750745,122.5225442,538.3873341,3.158153292,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Antonio Gibson,RB,121.80656365200001,38.92498712,279.9566691,1.117700281,50.74426487,125.9449878,531.4586065,2.659532585,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Blake Corum,RB,99.20543147000001,17.6819274,129.5925136,0.671384616,23.02976512,119.4069924,510.7461485,3.783193628,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Kendre Miller,RB,88.861727464,30.68666546,242.5362822,1.403788735,39.13420035,71.27870417,309.9639016,1.695747882,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
